title,manufacturer,price
clickart_950_000_premier_image_pack_dvdrom,broderbund,
ca_international_arcserve_lapdesktop_oem_30pk,computer_associates,
noah_s_ark_activity_center_jewel_case_ages_38,victory_multimedia,
peachtree_by_sage_premium_accounting_for_nonprofits_2007,sage_software,599.99
singing_coach_unlimited,carryatune_technologies,99.99
emc_retrospect_75_disk_to_disk_windows,dantz,
adobe_after_effects_professional_65_upgrade_from_standard_to_professional,adobe,499.99
acad_upgrade_dragon_naturallyspeaking_pro_solution_90_a289afd79_0,nuance_academic,399.54
mia_s_math_adventure_just_in_time,kutoka,19.99
disney_s_1st_2nd_grade_bundle_pixar_1st_grade_secret_keys_and_aladdin_reading_quest,disney,14.99
paper_art_gift_wrapping,arcmediainc,
nfs_maestro_solo_2006_1u,hummingbird_communications,309.56
microsoft_sql_server_standard_edition_2005_64_bit_cddvd_5_client,microsoft,1849.0
spy_sweeper_spanish,webroot_software,29.95
domino_designerdeveloper_v5_0,lotus_development,95.0
omnioutliner_professional_30,csdc,69.95
compaq_comp_secure_path_v30cnetware_wrkgrp_50_lic_231327b22,compaq_computer,
upg_sgms_1000_incremental_node,sonicsystemsinc,
the_human_body,topics_entertainment,19.99
school_zone_pencilpal_software_big_phonics_cdrom_book,schoolzoneinteractive,
millie_s_math_house_ages_37_winmac,ibm_aapmiscparts,
world_book_encyclopedia_2006,topics_entertainment,19.99
musicalis_guitar_workshop,globalsoftwarepublishing,9.99
the_printshop_20_professional_publisher,broderbund,69.99
data_protection_suite,stomp_inc,69.99
kids_power_fun_for_girls,topics_entertainment,19.99
adobe_premiere_pro_cs3_upgrade,adobe,299.0
i_copy_dvds_2_professional_edition,metoosoftware,69.99
genx_media_made_easy_vol_3,genx,49.95
family_tree_maker_112_collector_s_edition,encore,109.95
adobe_fireworks_cs3_mac,adobe,299.0
dinosaurs,topics_entertainment,19.99
instant_home_design_30_lb,topics_entertainment,19.99
xoom_internet_movies_2,xoom,
form_workshop_1200,valusoft,29.99
the_print_shop_pro_publisher_22_deluxe_dvd,encore,99.99
stomp_inc_recover_lost_data_2005,stomp_inc,39.95
my_first_bible_stories,dorlingkindersleymultimedia_dk,29.95
the_big_mix_mac,aladdin,59.99
xoom_movie_clone_3_gold,xoom,
the_print_shop_22_deluxe,encore,49.99
imsi_turbocad_designer_v_11,imsi,39.99
lavasoft_adaware_plus_edition,tri_synergy,29.99
clip_art_and_more_250_000_jewel_case,imsi_design,
instant_immersion_language_lab_deluxe_edition,topics_entertainment,
elementary_school_success_deluxe_2006,topics_entertainment,49.99
national_geographic_presents_redshift_planetarium,topics_entertainment,29.99
math_success_deluxe_2006,topics_entertainment,49.99
national_geographic_presents_forces_of_nature,topics_entertainment,29.99
reference_success_deluxe_2006,topics_entertainment,49.95
clifford_the_big_red_dog_thinking_adventures,scholastic,9.99
mastercook_deluxe_low_carb,valusoft,14.99
instant_home_design_jewel_case,topics_entertainment,9.99
boomerang_webshop_platinum,boomerang,
allume_boost_xp_for_windows,smithmicrosoftware,29.99
