title,manufacturer,price
learning_quickbooks_2007,intuit,38.99
superstart_fun_with_reading_writing,,8.49
qb_pos_60_basic_software,intuit,637.99
math_missions_the_amazing_arcade_adventure_grades_35,,12.95
production_prem_cs3_mac_upgrad,adobe_software,805.99
video_studio_11_plus,corel_corporation,103.99
edius_pro_4,canopusgrass_valley,585.99
qb_pos_60_pro_multi_store_sw,intuit,1054.99
qb_credit_card_kit_30,intuit,25.99
vegas_movie_studiodvd_8_plat,sony_creative_software,92.99
qb_pos_60_pro_solution_hwsw,intuit,1474.99
ares_rising,,29.95
evergirl_pc_cdrom_video_game,,14.99
cd384aisk9_cisco_ios_advanced_ip_services_complete_package_cd,,2068.26
633808063023_wasp_bar_code_fontware_complete_package_10_users_cd_win_english,,154.6
0202034_axis_camera_station_license_1_additional_user,,95.12
eu063av_aba_microsoft_windows_xp_professional_license_and_media_1_user_cto_english,,137.09
bb0gyna_ibm_informix_dynamic_server_enterprise_edition_v_94_media_cd_linux,,195.53
eqzfn07201_zetafax_business_edition_license_5_users_win,,499.17
633808390266_wasp_mobileasset_professional_edition_combo_pack_with_spt_1800_v_5_comp,,2021.99
wg017449_watchguard_firebox_x5500e_utm_software_suite_subscription_license_1_year,,3715.48
11k2990_international_printing_for_mysapcom_complete_package_1_client_cd_englis,,149.43
5325302018_snap_enterprise_data_replicator_license_1_server_linux_unix_win,,663.22
38039440dm_adobe_flash_cs3_professional_v_9_media_tlp_tlp_nonprofit_dvd_win,,18.88
11105106_symantec_bindview_policy_manager_v_10_media_cd_win_english,,16.09
25510587_adobe_after_effects_cs3_professional_complete_package_1_user_dvd_win_c,,1054.23
wg017127_watchguard_gateway_antivirus_for_email_maintenance_1_year_1_device_wi,,751.44
did0480pm311_plasmon_additional_maintenance_24x7_plasmon_diamond_technical_support_consul,,1562.06
633808035020_wasp_nest_ccd_suite_business_edition_complete_package_1_user_cd_win,,179.03
71100072_microsoft_entertainment_pocketpak_2004_productivity_pack_complete_package_1,,29.93
01ssc6993_sonicwall_clientserver_antivirus_suite_subscription_license_3_years_50,,3992.98
buvsag00000_ulead_videostudio_10_complete_package_1_user_win_english,,61.94
s7100009_perfect_dark_zero_complete_package_1_user_microsoft_xbox_360_dvd_engli,,34.38
c6q00002_microsoft_digital_image_suite_plus_complete_package_1_pc_cdrom_mini_box,,93.33
ma166za_ilife_06_complete_package_1_user_dvd_mac,,72.74
s45es12225sg_cisco_ios_enterprise_services_v_122_25_sg_complete_package,,7022.74
