id,label,left_title,left_manufacturer,left_price,right_title,right_manufacturer,right_price
0,0,individual_software_resumemaker_professional_ultimate,,39.99,allume_systems_inc_mediarecover,,26.14
1,1,microsoft_data_analyzer_2002,microsoft,179.0,microsoft_ho200003_data_analyzer_2002_complete_package_1_user,microsoft,154.99
2,0,microsoft_r_windows_vista_tm_home_basic,,99.99,macbackup,macware,29.99
3,1,wanted_a_wild_western_adventure,dreamcatcher_interactive,29.99,dreamcatcher_interactive_wanted_wild_willy_west,,17.55
4,0,sibelius_photoscore_professional_scanning_software_music_production_software,sibeliussoftwareltd,179.95,quicken_r_quickbooks_r_microsoft_money_r_and_simply_money_r_elegant_laser_checks,,97.99
5,0,let_s_learn_about_time_date,,8.95,yamaha_bread_best_of_bread_smart_pianosoft,,14.86
6,0,sibelius_sibelius_photoscore_professional_4,,145.7,doug_boduch_metallica_cherry_lane_music_metallica_guitar_legendary_licks_19881997_a_stepbystep_breakdown_of_metallica_s_guitar_styles_and_techniques,,18.5
7,1,punch_master_landscape_home_design,punch_software,59.99,punch_software_26100_punch_master_landscape_and_home_design_small_box,punch_software,45.99
8,0,msdw30der_manga_studio_debut_v_30_complete_package_1_user_cd_win,,41.74,adobe_cs3_design_premium_macosx_dvd,adobe,599.0
9,1,power_production_storyboard_quick,power_production,,power_production_storyboard_quick_5_software_for_mac_and_windows_animation_software,,299.0
10,1,webroot_desktop_firewall,webroot_software,29.99,webroot_software_54210_desktop_firewall,webroot_software,26.99
11,0,topics_entertainment_classics_the_the_piano,,20.0,marine_aquarium_goldfish_aquarium,,19.99
12,0,microsoft_sql_server_developer_edition_2005_cddvd,microsoft_software,49.95,8511v150mkus_netiq_xmp_modules_v_15_media_win,,22.67
13,1,jumpstart_1st_grade,knowledge_adventure,,jumpstart_1st_grade_jc,,9.9
14,0,bamboo_technology_llc_vault360_combo,,24.58,masque_publishing_best_of_slots_ii,,8.46
15,1,microsoft_windows_vista_business_full_version_dvd,microsoft,299.95,microsoft_windows_vista_business_retail_no_open_box_returns,,299.99
16,0,h_r_block_taxcut_2006_home_business_state,h_r_block,79.99,brain_play_1st3rd_grade,,17.9
17,0,instant_immersion_spanish_20,topics_entertainment,29.99,steinberg_cubase_4_software_music_production_software,,799.99
18,0,johann_sebastian_bach_devine_entertainment_corporation_bach_s_fight_for_freedom_dvd,,14.89,britannica_deluxe_2008,,26.5
19,0,microsoft_windows_server_2003_terminal_server_cals_20pack_per_device,,2429.99,adobe_contribute_cs3_mac,adobe,149.0
20,0,sony_vegas_movie_studio_7_dvd_platinum_edition_academic,,92.99,sid_meiers_civilization_iii_for_pc,,7.99
21,0,threetoapage_business_checks,,104.39,retrospect_60_desktop_mac,dantz,99.99
