id,left_title,left_manufacturer,left_price,right_title,right_manufacturer,right_price,label
0,quicken_2007_deluxe_win_cd,intuit,57.99,sony_acid_music_studio_pc,,69.99,?
1,micromat_diskstudio_mac,micromat,99.0,micromat_inc_diskstudio,,43.36,?
2,punch_professional_home_design_suite,punch_software,69.99,punch_software_35100_punch_professional_home_design_suite_small_box,punch_software,62.99,?
3,20100_punch_5_in_1_home_design_complete_package_1_user_cd_win_english,,34.26,sega_of_america_inc_rome_total_war_gold_edition,segaofamericainc,18.77,?
4,i_love_the_usa,globalsoftwarepublishing,9.99,global_software_a1055_i_love_the_usa,global_software,11.99,?
5,633808920357_wasp_mobileinventory_network_edition_with_wdt3200_v_3_complete_package,,2097.24,serious_magic_ultra2_master_sets_library_2_windows,serious_magic,276.5,?
6,quickverse_mac_bible_study_2007_white_box,findex,59.95,findexcom_inc_quickverse_mac_bible_study_2007_white_box,,37.18,?
7,nero_7_ultra_edition_enhanced_pc_home_entrmnt_soln,neso_usa,99.99,nero_nero_7_ultra_edition_enhanced_cddvd_burning_software_for_windows_authoring_software,,79.99,?
8,the_print_shop_22_deluxe,encore,49.99,the_printshop_v22_deluxe,,29.9,?
9,garmin_bluechart_mediterranean_southeast,,299.0,post_mortem,,7.49,?
10,andrew_lloyd_webber_yamaha_andrew_lloyd_webber_cats_smart_pianosoft_2disk_set,,22.13,photo_explosion_deluxe_r_20,,49.99,?
11,h_r_block_taxcut_2006_premium_federal_state_efile,h_r_block,59.99,architecturecentric_software_project_management_a_practical_guide,,39.59,?
12,i_transfer_dvds_2_ipod_edition_winmac,metoosoftware,29.99,me_too_software_i_transfer_dvds_2_ipod,metoosoftware,29.99,?
13,easy_home_massage_dvd,,10.95,r1800144_microsoft_windows_server_license_software_assurance_1_cal_open_business,,41.58,?
14,learning_quickbooks_r_for_windows_r,,39.99,avid_xpress_pro_video_editing_software_for_mac_and_windows_professional_editing_software,,1449.0,?
15,nero_mix_cd_recording_software,,41.42,topics_entertainment_audio_success_series_winning_strategies,,31.06,?
16,lego_star_wars_ii_the_original_trilogy_for_mac,feral_interactive,39.99,aspyr_lego_star_wars_ii,,44.95,?
17,00dexx17cc01_designcad_v_17_complete_package_1_user_cd_win,,25.54,webroot_software_inc_50410_spy_sweeper_wantivirus_family_edition_small_box_win_2000_xp,,41.97,?
18,adobe_photoshop_elements_40_mac,adobe,89.99,adobe_photoshop_elements_40_mac,,79.99,?
19,sony_creative_software_vegas43_dvd_v_70_complete_product,,420.55,abacus_software_ss69_corporate_pilot_2,abacus_software,28.99,?
20,hoyle_board_games,encore,9.99,encore_software_10027_hoyle_board_games_win_98_me_2000_xp,,7.47,?
21,marcy_marxer_cathy_fink_homespun_video_making_and_playing_homemade_instruments,,14.86,39503824_microsoft_exchange_server_2007_enterprise_edition_complete_package_1_server,,6594.2,?
22,quark_119700_quarkxpress_65_mac,quark,736.99,dv_rack_2_win_retail_ue1u,adobe,908.69,?
23,super_collapse_3,mumbo_jumbo,19.99,super_collapse_3,,22.99,?
24,hoyle_casino_2007,encore,19.99,encore_software_10675_hoyle_casino_2007_win_98_me_2000_xp,,18.97,?
25,david_holt_homespun_clawhammer_banjo_2_repertoire_and_technique,,22.13,cisco_pgw2200_include_redundant,,159787.95,?
26,media_studio_for_psp_standard_editon,encore_software,29.99,media_studio_for_psp_standard_editon_800060,,47.99,?
27,rosetta_stone_vietnamese_level_1_homeschool_edition_cdrom,,179.99,webroot_software_inc_66210_spy_sweeper_mass_merchant_win_98_me_2000_xp,,25.97,?
28,suretrak_project_manager_30,primavera_systems,499.0,windows_vista_business_sp_microsoft_66j00063,,272.38,?
29,sibelius_5_professional_edition,sibeliussoftwareltd,599.0,windows_xp_pro_nx7400_os,hewlett_packard,,?
30,bodyworks_60_25user_building_site_license,learning_company,399.95,microsoft_windows_vista_ultimate_upgrade_dvd,microsoft,259.95,?
31,adobe_flash_cs3_professional_mac,,699.0,microsoft_visual_studio_team_suite_2005_with_msdn_premium_cd_dvd,microsoft,10949.0,?
32,instant_play_electric_guitar_jewel_box,topics_entertainment,6.99,instant_play_electric_guitar_express_jc,,12.9,?
33,webobjects_52,apple,699.95,apple_software_m8789za_webobjects_52,apple_software,648.99,?
34,sony_vegas_movie_studio_dvd_8_platinum_edition,sony_media,129.95,sony_media_software_vegas_movie_studio_dvd_8_platinum_edition,,100.97,?
35,adobe_premiere_pro_cs3_upgrade,adobe,299.0,premiere_pro_cs3_mac_upgrade,,320.25,?
36,john_deere_busy_days_in_deerfield_valley,destineer_publishing,19.99,apple_final_cut_studio_2_production_suite_for_mac_av_production_software,,1298.95,?
37,cisco_csab250dtopk9_cisco_security_desktop_agent_win_sol_250_agent_bundle_cisco_security_desktop_agent_license_250_agents_0746320832500,,10267.54,destineer_rise_of_nations_gold_edition,,45.99,?
38,totally_spies_zombie_jamboree_by_brighter_minds,brightermindsmediainc,9.99,spyware_xterminator,,24.9,?
39,microsoft_windows_terminal_server_2003_client_additional_license_for_users_5_user,microsoft,669.0,microsoft_windows_terminal_server_2003_client_additional_license_for_users_5_user_824048,,719.04,?
40,more_brain_games,csdc,9.99,csdc_more_brain_games_on_hand_software,,7.17,?
41,intuit_inc_quicken_home_inventory_manager,,29.78,listen_for_ipod_magnetic_time_win_2000_xp,sosaggregationcompany,39.99,?
42,t7400004_microsoft_windows_small_business_server_2003_license_20_additional_user_cals,,1834.4,emc_retrospect_75_professional_for_windows_upgrade,dantz,,?
43,horacio_hernandez_hudson_music_horacio_hernandez_live_at_the_modern_drummer_festival_2000,,18.5,emc_auth_mgr_mnt_base_9x5_22m_peru_35055000_u_aut0005000bs22,,18.0,?
44,individual_software_jceth6_total_3d_home_deluxe_jc,individual_software,9.99,threetoapage_payroll_checks,,104.39,?
45,knowledge_adventure_785105_jumpstart_exploregr13_add_on,,12.99,home_budget_for_dummies,atari,,?
46,masque_10192_slots_from_bally_gaming,masque,18.99,canopus_77010158100_let_s_edit,canopus,99.0,?
